jahr;SPIEGEL_avg_words;SPIEGEL_avg_chars;STERN_avg_words;STERN_avg_chars;SPIEGEL_anzahl;STERN_anzahl
1947;275.2920115282896;1949.5909611602303;;;3825;0
1948;349.1053396975278;2518.213409771795;;;2838;0
1949;394.6133534852058;2835.595954397999;;;3019;0
1950;483.18375290355146;3469.248944827345;;;3013;0
1951;633.1983270893663;4562.230478322054;;;2140;0
1952;557.2302106180247;4047.585326355909;;;2233;0
1953;631.2172598494373;4560.670771983973;;;1791;0
1954;559.5596651003166;4060.209691464635;;;1958;0
1955;576.7704310455706;4176.513245640354;;;1530;0
1956;546.3365958203666;3972.0588423369286;;;2967;0
1957;664.7790208289757;4817.644057130169;;;2735;0
1958;668.3286512241777;4870.500441884717;;;2767;0
1959;674.4323231387658;4922.75641933175;;;2942;0
1960;651.618143904551;4784.927038779703;;;3033;0
1961;616.4125631963626;4533.702945872244;;;3110;0
1962;538.9566255566536;3940.6111280703867;;;3667;0
1963;553.2908593746407;4043.335743956463;;;3704;0
1964;660.3987954291847;4777.776347741918;;;3619;0
1965;658.6189712474708;4754.412802931724;;;3961;0
1966;730.4871832982975;5245.412253711654;;;3886;0
1967;861.0349988003721;6177.817533699522;;;3398;0
1968;783.2137287954638;5664.488822131244;;;3824;0
1969;834.3429296461522;6076.912510835785;;;4031;0
1970;819.0378707106624;5984.939736851465;;;4365;0
1971;731.8158944249448;5371.109991453483;;;4472;0
1972;665.5407434452896;4877.1352222790465;;;4695;0
1973;676.574722115001;4949.293318433626;;;4090;0
1974;702.2795067046508;5106.411486951144;;;3691;0
1975;665.61372656074;4833.534691685862;;;3947;0
1976;739.5997784472139;5359.715044801137;;;4000;0
1977;794.5096966773175;5775.3942631403115;;;4173;0
1978;811.6587730068774;5874.897020433346;;;4243;0
1979;863.0689891889637;6223.8734549080655;;;4179;0
1980;794.165446556154;5710.251188990019;;;4765;0
1981;794.2292154036654;5724.68427772924;;;4879;0
1982;821.1047109634478;5900.2341178830475;;;4760;0
1983;911.3031900432685;6589.201356500257;;;4270;0
1984;946.745684467168;6830.097442812406;;;4198;0
1985;945.9968579252271;6816.633954788661;;;4215;0
1986;876.9801778333849;6320.958912660447;;;4573;0
1987;857.1028604681441;6158.586313352538;;;4807;0
1988;839.5542829322435;6053.969895824598;;;4936;0
1989;832.7766322925871;5996.1585066132975;;;5148;0
1990;839.5008436684438;6026.747948876452;;;4976;0
1991;822.5986284414362;5907.460236808384;;;5132;0
1992;756.26328475966;5422.266137914606;;;5527;0
1993;636.6977486182976;4569.484159069642;;;6279;0
1994;605.127332889298;4319.764107300435;;;6286;0
1995;635.8630628424031;4513.599139054465;;;6335;0
1996;647.5797993174529;4593.920475530259;;;6224;0
1997;657.2124075008016;4656.614951966753;;;6352;0
1998;614.0710814542748;4359.98536391197;;;6780;0
1999;642.847252193044;4576.670025174822;;;6996;0
2000;634.3098618075784;4505.484119355328;347.5864197530864;2509.972222222222;6978;67
2001;651.7660078979532;4594.426650388419;434.58532487893916;3068.504375095697;6362;3964
2002;631.591625998193;4445.245045815088;450.6621537299525;3207.9926830091204;6167;6294
2003;627.7910808757049;4409.587099214728;507.2796100309509;3639.420760864163;5875;10433
2004;630.9979325882409;4424.6892785639675;534.9594603203376;3815.3074299107097;5842;11458
2005;660.6415525126596;4647.672816883068;528.4119783634444;3764.9348247390512;5747;11421
2006;660.6406837772971;4624.117811488656;541.1411239951555;3837.3630224307963;5810;13706
2007;658.9152223314767;4598.623301417313;574.6737296472478;4044.415904298717;5868;14259
2008;699.893510950444;4865.61979985385;585.9825483712292;4116.620032391086;5353;18375
2009;718.1752441447292;4987.433287227512;497.00395701792394;3512.8606103572106;5145;16307
2010;;;414.680320277926;2966.7377524569692;0;22056
2011;;;442.280278096167;3134.0110420829096;0;20926
2012;;;429.858783445281;3038.37344479794;0;20744
2013;;;388.65049872433184;2754.491856225188;0;17647
2014;;;396.7951429367425;2784.639088677057;0;18736
2015;;;395.5426902172413;2770.1911091470774;0;21129
2016;;;436.5569844750333;3035.731498955221;0;18235
2017;;;523.3312117003483;3661.2416181074364;0;16939
2018;;;478.0703926182743;3319.531108856017;0;24976
2019;;;465.9336426384607;3239.8031855216445;0;27087
2020;;;446.5342330000967;3130.1714873969745;0;27611
2021;;;397.26715785208717;2787.7426409304103;0;33741
2022;5252.5;37118.5;344.9127238795267;2403.796179923897;4;39156
2023;450.0;3488.0;331.4792561394684;2329.770323511282;3;26361
2024;55.800000000000004;409.4666666666667;384.9246715935746;2707.3022150021866;16;21496
2025;40.6;305.95;;;11;0
