Jahr;Spiegel_Artikel;Politik;Ausland;Wirtschaft;Kultur;Sport;Wissenschaft;Panorama;Gesundheit;Backstage;Stil;Psychologie;Geschichte;Mobilität;Familie
1947;3829;3261;1;180;271;87;29;0;0;0;0;0;0;0;0
1948;2789;2593;0;85;17;93;1;0;0;0;0;0;0;0;0
1949;3068;2890;0;86;30;59;3;0;0;0;0;0;0;0;0
1950;3013;2785;0;183;12;31;2;0;0;0;0;0;0;0;0
1951;2140;2016;0;75;13;31;5;0;0;0;0;0;0;0;0
1952;2192;1857;0;2;238;71;24;0;0;0;0;0;0;0;0
1953;1795;1753;0;2;13;25;2;0;0;0;0;0;0;0;0
1954;1961;1925;0;0;3;32;1;0;0;0;0;0;0;0;0
1955;1564;1498;0;3;1;62;0;0;0;0;0;0;0;0;0
1956;2967;2801;0;52;40;36;22;16;0;0;0;0;0;0;0
1957;2692;2530;0;41;61;31;19;10;0;0;0;0;0;0;0
1958;2756;2574;0;50;77;24;21;10;0;0;0;0;0;0;0
1959;2996;2745;0;61;127;36;18;9;0;0;0;0;0;0;0
1960;2971;2473;0;11;427;49;7;4;0;0;0;0;0;0;0
1961;3172;2585;0;0;557;30;0;0;0;0;0;0;0;0;0
1962;3667;3073;0;0;564;28;1;1;0;0;0;0;0;0;0
1963;3704;3029;0;0;638;37;0;0;0;0;0;0;0;0;0
1964;3619;2983;0;1;581;54;0;0;0;0;0;0;0;0;0
1965;3961;2988;0;1;896;74;0;2;0;0;0;0;0;0;0
1966;3886;2852;0;1;950;80;3;0;0;0;0;0;0;0;0
1967;3337;2451;0;0;826;60;0;0;0;0;0;0;0;0;0
1968;3885;2828;0;0;966;91;0;0;0;0;0;0;0;0;0
1969;4031;2854;0;0;1092;85;0;0;0;0;0;0;0;0;0
1970;4365;3238;0;1;1025;101;0;0;0;0;0;0;0;0;0
1971;4472;2810;0;531;981;98;52;0;0;0;0;0;0;0;0
1972;4617;2533;0;798;1072;110;104;0;0;0;0;0;0;0;0
1973;4168;2325;0;751;922;76;94;0;0;0;0;0;0;0;0
1974;3707;2182;0;570;769;70;116;0;0;0;0;0;0;0;0
1975;3958;2362;0;605;764;74;152;1;0;0;0;0;0;0;0
1976;4000;2431;0;606;762;76;124;0;1;0;0;0;0;0;0
1977;4173;2563;0;619;784;74;132;1;0;0;0;0;0;0;0
1978;4181;2589;0;616;764;87;124;0;1;0;0;0;0;0;0
1979;4241;2618;0;616;792;88;127;0;0;0;0;0;0;0;0
1980;4765;3178;0;619;606;99;257;6;0;0;0;0;0;0;0
1981;4879;3293;0;632;630;86;236;2;0;0;0;0;0;0;0
1982;4760;3236;0;613;661;99;142;9;0;0;0;0;0;0;0
1983;4270;2698;0;597;741;74;150;10;0;0;0;0;0;0;0
1984;4131;2572;0;587;636;110;216;10;0;0;0;0;0;0;0
1985;4206;2613;0;618;616;127;221;11;0;0;0;0;0;0;0
1986;4577;2972;0;611;594;153;224;23;0;0;0;0;0;0;0
1987;4879;3214;0;632;647;147;224;15;0;0;0;0;0;0;0
1988;4936;3335;0;613;631;141;206;10;0;0;0;0;0;0;0
1989;5060;3373;0;633;658;146;226;24;0;0;0;0;0;0;0
1990;4977;3305;0;593;713;126;219;21;0;0;0;0;0;0;0
1991;5137;3432;0;615;779;120;164;27;0;0;0;0;0;0;0
1992;5609;3752;0;662;692;132;349;22;0;0;0;0;0;0;0
1993;6279;4211;0;674;698;131;463;102;0;0;0;0;0;0;0
1994;6286;4148;0;620;715;140;473;190;0;0;0;0;0;0;0
1995;6218;3915;0;592;874;136;511;190;0;0;0;0;0;0;0
1996;6243;3923;0;594;926;141;501;158;0;0;0;0;0;0;0
1997;6332;3903;1;646;933;128;474;247;0;0;0;0;0;0;0
1998;6899;4098;0;767;1050;126;638;219;0;1;0;0;0;0;0
1999;6996;4356;0;760;874;117;627;262;0;0;0;0;0;0;0
2000;6870;4187;0;783;995;127;600;177;0;1;0;0;0;0;0
2001;6345;3747;0;746;798;111;563;379;0;0;1;0;0;0;0
2002;6169;3603;0;741;745;111;543;426;0;0;0;0;0;0;0
2003;5878;3477;0;662;740;105;529;364;0;0;0;1;0;0;0
2004;5963;3517;0;646;780;109;545;366;0;0;0;0;0;0;0
2005;5747;3379;0;604;768;99;549;348;0;0;0;0;0;0;0
2006;5703;3378;0;614;752;117;522;319;0;0;0;1;0;0;0
2007;5852;3425;0;585;743;236;539;324;0;0;0;0;0;0;0
2008;5378;3047;0;560;674;262;525;310;0;0;0;0;0;0;0
2009;5244;3034;0;520;624;234;517;314;0;1;0;0;0;0;0
2025;50;17;2;10;7;1;3;6;0;0;0;0;1;2;1
